unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
9293700987095,,,,-0.07709527,-1.2900438,0.6208668,,,,,,,,,,,,,,,,,,,,,,,,
9293700987095,,,,,,,,,,341.39713,-46.731537,-14.824701,,,,,,,,,,,,,,,,,,
9293685331577,,,,,,,,,,,,,,,,,,,,,,,1024.6268,,,,,,,
9293705473179,-2.5757294,5.3820953,6.782837,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293705473179,,,,,,,0.06314087,-0.09069824,-0.089416504,,,,,,,,,,,,,,,,,,,,,
9293720854038,,,,-0.36798072,-1.3351483,0.033963203,,,,,,,,,,,,,,,,,,,,,,,,
9293705473179,,,,,,,,,,,,,3.4576416,16.316223,-11.46698,,,,,,,,,,,,,,,
9293720854038,,,,,,,,,,341.66382,-46.644615,-14.908051,,,,,,,,,,,,,,,,,,
9293725614780,-2.8181915,5.3155365,6.430176,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293725614780,,,,,,,,,,,,,4.333496,14.630127,-12.930298,,,,,,,,,,,,,,,
9293725614780,,,,,,,0.04096985,-0.08085632,-0.08807373,,,,,,,,,,,,,,,,,,,,,
9293740720981,,,,-0.40309358,-1.3613148,0.45883083,,,,,,,,,,,,,,,,,,,,,,,,
9293718900913,,,,,,,,,,,,,,,,,,,,,,,1024.6268,,,,,,,
9293740720981,,,,,,,,,,341.9336,-46.472866,-14.974052,,,,,,,,,,,,,,,,,,
9293745756382,-2.8755493,5.168167,6.859894,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293745756382,,,,,,,,,,,,,3.8253784,12.585449,-11.932373,,,,,,,,,,,,,,,
9293745756382,,,,,,,-0.006668091,-0.14260864,-0.0823822,,,,,,,,,,,,,,,,,,,,,
9293760557407,,,,-0.5007565,-1.7396445,0.82253695,,,,,,,,,,,,,,,,,,,,,,,,
9293760557407,,,,,,,,,,342.2648,-46.1974,-14.990687,,,,,,,,,,,,,,,,,,
9293752470249,,,,,,,,,,,,,,,,,,,,,,,1024.6268,,,,,,,
9293765897983,-2.9490051,5.0173035,7.209549,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293780424350,,,,-0.51046014,-1.1249809,1.022181,,,,,,,,,,,,,,,,,,,,,,,,
9293765897983,,,,,,,0.025314331,-0.20257568,-0.067840576,,,,,,,,,,,,,,,,,,,,,
9293765897983,,,,,,,,,,,,,3.6453247,12.765503,-10.961914,,,,,,,,,,,,,,,
9293780424350,,,,,,,,,,342.61136,-46.003456,-14.94376,,,,,,,,,,,,,,,,,,
9293786039585,-2.8330078,5.4315796,7.3919983,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293786039585,,,,,,,0.0836792,-0.20115662,-0.053863525,,,,,,,,,,,,,,,,,,,,,
9293786039585,,,,,,,,,,,,,2.7786255,14.0182495,-8.137512,,,,,,,,,,,,,,,
9293786039585,,,,,,,,,,,,,,,,,,,,,,,1024.6268,,,,,,,
9293800291294,,,,-0.110010386,-1.1851892,1.0707636,,,,,,,,,,,,,,,,,,,,,,,,
9293800284189,,,,,,,,,,342.90625,-45.862926,-14.845092,,,,,,,,,,,,,,,,,,
